CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000004447,20170223,20161231,1,1
0000004447,20190221,20181231,1,1
0000004447,20090227,20081231,0,0
0000004447,20120227,20111231,0,0
0000004447,20180221,20171231,1,1
0000004447,20130228,20121231,1,1
0000004447,20140228,20131231,1,1
0000004447,20110225,20101231,0,0
0000004447,20160226,20151231,1,1
0000004447,20150227,20141231,1,
0000004457,20160525,20160331,1,1
0000004457,20170524,20170331,1,1
0000004457,20190529,20190331,0,0
0000004457,20180530,20180331,1,1
0000004457,20150527,20150331,1,1
0000004457,20130605,20130331,1,1
0000004457,20100609,20100331,1,1
0000004457,20120606,20120331,1,1
0000004457,20110609,20110331,1,1
0000004457,20090604,20090331,1,1
0000004457,20140528,20140331,1,1
0000004904,20090227,20081231,1,1
0000004904,20100226,20091231,1,1
0000004904,20110225,20101231,1,1
0001721781,20190221,20181231,1,1
0000006879,20180223,20171231,1,1
0000006879,20170228,20161231,1,1
0000092487,20150220,20141231,1,1
0000006879,20120228,20111231,1,1
0000006879,20160224,20151231,1,1
0000081027,20130226,20121231,1,1
0000006879,20140225,20131231,1,1
0000005768,20160524,20160331,1,1
0000005768,20140606,20140331,1,1
0000005768,20150605,20150331,1,1
0000005768,20100609,20100331,1,1
0000005768,20110609,20110331,1,1
0000005768,20090615,20090331,1,1
0000005768,20130607,20130331,1,1
0000005768,20120608,20120331,1,1
0000005981,20120309,20111231,1,1
0000005981,20160302,20151231,1,
0000005981,20140228,20131231,1,
0000005981,20170307,20161231,1,
0000005981,20150227,20141231,1,
0000005981,20130301,20121231,1,1
0000005981,20180314,20171231,1,
0000005981,20190312,20181231,1,
0000005981,20100310,20091231,1,1
0000005981,20110310,20101231,1,1
0000005981,20090313,20081231,1,1
0000006176,20090313,20081231,1,1
0000006176,20110316,20101231,1,1
0000006176,20160315,20151231,1,1
0000006176,20100316,20091231,1,1
0000006176,20170316,20161231,1,1
0000006176,20190318,20181231,1,1
0000006176,20120315,20111231,1,1
0000006176,20180316,20171231,1,1
0000006176,20130315,20121231,1,1
0000006176,20140317,20131231,1,1
0000006176,20150316,20141231,1,1
0000004515,20170222,20161231,1,1
0000004515,20190225,20181231,1,1
0000004515,20160224,20151231,1,1
0000004515,20180221,20171231,1,1
0000004515,20140228,20131231,1,1
0000004515,20150225,20141231,1,1
0000006201,20130220,20121231,1,1
0000006201,20100217,20091231,1,1
0000006201,20090219,20081231,1,1
0000006201,20110216,20101231,1,
0000006201,20120215,20111231,1,1
0000006281,20191126,20191102,1,1
0000006281,20111122,20111029,1,1
0000006281,20091124,20091031,1,1
0000006281,20181127,20181103,1,1
0000006281,20161122,20161029,1,1
0000006281,20151124,20151031,1,1
0000006281,20171122,20171028,1,1
0000006281,20131126,20131102,1,1
0000006281,20141210,20141101,1,1
0000006281,20121127,20121103,1,1
0000006281,20101122,20101030,1,1
0000006284,20140926,20140731,1,1
0000006284,20160927,20160731,1,1
0000006284,20150925,20150731,1,1
0000006284,20170926,20170731,1,1
0000006284,20111004,20110731,1,1
0000006284,20090929,20090731,1,1
0000006284,20100923,20100731,1,1
0000006284,20130930,20130731,1,1
0000006284,20121004,20120731,1,1
0000006292,20100225,20100102,1,1
0000006292,20110224,20110101,1,1
0000006292,20090331,20090103,1,1
0000006292,20130221,20121229,1,1
0000006292,20120223,20111231,1,1
0000006314,20100813,20100630,1,1
0000006314,20110812,20110630,1,1
0000006314,20090914,20090630,1,1
0000006314,20120809,20120630,1,1
0000006314,20130812,20130630,1,1
0000006769,20180223,20171231,1,1
0000006769,20190301,20181231,1,1
0000006769,20170224,20161231,1,1
0000006769,20160226,20151231,1,1
0000006769,20150227,20141231,1,1
0000006769,20130301,20121231,1,1
0000006769,20140228,20131231,1,1
0000006769,20120229,20111231,1,1
0000006845,20100428,20100227,1,1
0000006845,20090429,20090228,1,1
0000006845,20110427,20110226,1,1
0000006845,20160425,20160227,1,1
0000006845,20120430,20120303,1,1
0000006845,20170428,20170304,1,1
0000006845,20190426,20190302,1,1
0000006845,20140430,20140301,1,1
0000006845,20150429,20150228,1,1
0000006845,20180430,20180303,1,1
0000006845,20130516,20130302,1,1
0000006885,20180410,20180203,1,1
0000006885,20170404,20170128,1,1
0000006885,20160330,20160130,1,1
0000006885,20190405,20190202,1,1
0000006885,20150401,20150131,1,1
0000006885,20140402,20140201,1,1
0000006885,20090330,20090131,1,1
0000006885,20110330,20110129,1,1
0000006885,20130403,20130202,1,1
0000006885,20120328,20120128,1,1
0000006885,20100330,20100130,1,1
0000006951,20091211,20091025,1,
0000006951,20161215,20161030,1,
0000006951,20151209,20151025,1,
0000006951,20181213,20181028,1,
0000006951,20171215,20171029,1,
0000006951,20111206,20111030,1,
0000006951,20101210,20101031,1,
0000006951,20191213,20191027,1,
0000006951,20131204,20131027,1,
0000006951,20121205,20121028,1,
0000006951,20141217,20141026,1,
0000006955,20171026,20170831,1,1
0000006955,20191029,20190831,1,1
0000006955,20181029,20180831,1,1
0000006955,20161028,20160831,1,1
0000006955,20101028,20100831,1,1
0000006955,20091028,20090831,1,1
0000006955,20111028,20110831,1,1
0000006955,20151028,20150831,1,1
0000006955,20121026,20120831,1,1
0000006955,20141027,20140831,1,1
0000006955,20131025,20130831,1,1
0000007039,20180312,20171231,1,1
0000007039,20190315,20181231,1,1
0000007039,20100315,20091231,1,1
0000007039,20090316,20081231,1,1
0000007039,20110318,20101231,1,1
0000007039,20120309,20111231,1,1
0000007039,20170316,20161231,1,1
0000007039,20160311,20151231,1,1
0000007039,20130318,20121231,1,1
0000007039,20150313,20141231,1,1
0000007039,20140314,20131231,1,1
0000007084,20190219,20181231,1,1
0000007084,20180216,20171231,1,1
0000007084,20090826,20090630,1,1
0000007084,20170217,20161231,1,1
0000007084,20120827,20120630,1,1
0000007084,20110825,20110630,1,1
0000007084,20160219,20151231,1,1
0000007084,20100830,20100630,1,1
0000007084,20150220,20141231,1,1
0000007084,20140226,20131231,1,1
0000007332,20090226,20081231,1,1
0000007332,20160225,20151231,1,1
0000007332,20110225,20101231,1,1
0000007332,20100225,20091231,1,1
0000007332,20120228,20120227,1,1
0000007332,20190228,20181231,1,1
0000007332,20140227,20131231,1,1
0000007332,20130221,20121231,1,1
0000007332,20170223,20161231,1,1
0000007332,20150226,20141231,1,1
0000007332,20180301,20180301,1,1
0000007431,20190225,20181231,1,1
0000007431,20110228,20101231,1,1
0000007431,20100226,20091231,1,1
0000007431,20090226,20081231,1,1
0000007431,20120227,20111231,1,1
0000007431,20130227,20121231,1,1
0000007431,20170227,20161231,1,1
0000007431,20180226,20171231,1,1
0000007431,20160222,20151231,1,
0000007431,20150223,20141231,1,1
0000007431,20140224,20131231,1,1
0000007536,20180206,20171231,1,0
0000007536,20170207,20161231,1,0
0000007536,20190207,20181231,1,
0000007536,20100203,20091231,1,0
0000007536,20110202,20101231,1,0
0000007536,20160205,20151231,1,0
0000007536,20150205,20141231,1,0
0000007536,20120201,20111231,1,0
0000007536,20130207,20121231,1,0
0000007536,20140205,20131231,1,0
0000007536,20090226,20081231,1,0
0000007623,20190205,20181130,1,1
0000007623,20180207,20171130,1,1
0000007623,20170202,20161130,1,1
0000007623,20110222,20101130,1,1
0000007623,20100223,20091130,1,1
0000007623,20120224,20111130,1,1
0000007623,20160203,20151130,1,1
0000007623,20090227,20081130,1,1
0000007623,20150129,20141130,1,1
0000007623,20130227,20121130,1,1
0000007623,20140226,20131130,1,1
0000008063,20190301,20181231,1,
0000008063,20180301,20171231,1,1
0000008063,20120307,20111231,1,1
0000008063,20170224,20161231,1,1
0000008063,20160224,20151231,1,1
0000008063,20150227,20141231,1,1
0000008063,20130222,20121231,1,1
0000008063,20140307,20131231,1,1
0000008063,20100301,20091231,1,1
0000008063,20090311,20081231,1,1
0000008063,20110303,20101231,1,1
0000008146,20100409,20100131,1,1
0000008146,20110419,20110131,1,1
0000008146,20090413,20090131,1,1
0000008146,20120404,20120131,1,1
0000008146,20180410,20180131,1,1
0000008146,20160408,20160131,1,1
0000008146,20130408,20130131,1,1
0000008146,20140407,20140131,1,1
0000008146,20190410,20190131,1,1
0000008146,20170407,20170131,1,1
0000008146,20150408,20150131,1,1
0000008411,20151112,20150630,1,1
0000008411,20161115,20160930,1,1
0000008411,20121119,20120930,1,1
0000008411,20131114,20130930,1,1
0000008411,20141113,20140930,1,1
0000008411,20111122,20110930,1,1
0000008411,20091125,20090930,1,1
0000008411,20101123,20100930,1,1
0000008504,20120416,20111231,1,1
0000008504,20090714,20090331,1,0
0000008504,20100715,20100331,1,0
0000008504,20190328,20181231,1,1
0000008504,20160411,20151231,1,0
0000008504,20170331,20161231,1,0
0000008504,20130410,20121231,1,1
0000008504,20140328,20131231,1,1
0000008504,20180323,20171231,1,0
0000008504,20150331,20141231,1,0
0000008670,20150807,20150630,1,0
0000008670,20170804,20170630,1,1
0000008670,20190809,20190630,1,1
0000008670,20120820,20120630,1,1
0000008670,20180803,20180630,1,1
0000008670,20140808,20140630,1,0
0000008670,20160805,20160630,1,0
0000008670,20130819,20130630,1,0
0000008670,20090828,20090630,1,1
0000008670,20110824,20110630,1,1
0000008670,20100825,20100630,1,1
0000008818,20180221,20171230,1,1
0000008818,20100301,20100102,1,1
0000008818,20090225,20081227,1,1
0000008818,20110228,20110101,1,1
0000008818,20190227,20181229,1,1
0000008818,20120227,20111231,1,1
0000008818,20170223,20161231,1,1
0000008818,20130227,20121229,1,1
0000008818,20140226,20131228,1,1
