CIK,Filed As Of Date,Conformed Period Of Report,Keyword Whole,Keyword Item 1
0000769520,20180228,20171230,1,1
0000769520,20170301,20161231,1,1
0000769520,20160302,20160102,1,1
0000769520,20150304,20150103,1,1
0000769520,20190227,20181229,1,1
0000769520,20100303,20100102,1,1
0000769520,20090304,20090103,1,1
0000769520,20110302,20110101,1,1
0000769520,20120315,20111231,1,1
0000769520,20140226,20131228,1,1
0000769520,20130227,20121229,1,1
0000771266,20110310,20101225,1,1
0000771266,20100308,20091226,1,1
0000771266,20090310,20081227,1,1
0000771266,20120315,20111231,1,1
0000771266,20160304,20151226,1,1
0000771266,20190314,20181229,1,1
0000771266,20170323,20161231,1,1
0000771266,20150312,20141227,1,1
0000771266,20180323,20171230,1,1
0000771266,20140317,20131228,1,1
0000771266,20130318,20121229,1,1
0000771497,20171222,20171031,1,1
0000771497,20181221,20181031,1,1
0000771497,20191220,20191031,1,1
0000771497,20091222,20091031,1,1
0000771497,20101223,20101031,1,1
0000771497,20151217,20151031,1,1
0000771497,20121220,20121031,1,1
0000771497,20161221,20161031,1,1
0000771497,20141217,20141031,1,1
0000771497,20111223,20111031,1,1
0000771497,20131218,20131031,1,1
0000771856,20100728,20100430,1,1
0000771856,20090827,20090430,1,1
0000771856,20110715,20110430,1,1
0000771856,20180730,20180430,1,1
0000771856,20170728,20170430,1,1
0000771856,20120718,20120430,1,
0000771856,20190729,20190430,1,1
0000771856,20140728,20140430,1,
0000771856,20160729,20160430,1,1
0000771856,20150729,20150430,1,
0000771856,20130726,20130430,1,1
0000771950,20130401,20121231,1,1
0000771950,20120330,20111231,1,1
0000771950,20110415,20101231,1,1
0000771950,20100331,20091231,1,1
0000771950,20090330,20081231,1,1
0000771999,20100325,20091231,1,1
0000771999,20090331,20081231,1,1
0000771999,20160330,20151231,1,
0000771999,20180306,20171231,1,
0000771999,20120319,20111231,1,
0000771999,20190315,20181231,1,
0000771999,20140326,20131231,1,
0000771999,20130306,20121231,1,1
0000771999,20170328,20161231,1,
0000771999,20150330,20141231,1,
0000771999,20110331,20101231,1,1
0000772320,20150522,20141231,1,1
0000772320,20161229,20151231,1,1
0000772320,20140415,20131231,1,1
0000772320,20170728,20161231,1,1
0000772320,20130405,20121231,1,1
0000772320,20110415,20101231,1,1
0000772320,20100316,20091231,1,1
0000772320,20090326,20081231,1,1
0000772320,20120330,20111231,1,1
0000772406,20110525,20110326,1,1
0000772406,20090601,20090328,1,1
0000772406,20100601,20100327,1,1
0000772406,20190524,20190330,1,1
0000772406,20160525,20160326,1,1
0000772406,20170524,20170325,1,1
0000772406,20140528,20140329,1,1
0000772406,20120530,20120331,1,1
0000772406,20180530,20180331,1,1
0000772406,20130529,20130330,1,1
0000772406,20150527,20150328,1,1
0000772572,20120308,20111231,1,
0000772572,20110311,20110101,1,1
0000772572,20090311,20090103,1,1
0000772572,20100308,20100102,1,1
0000772572,20130315,20121229,1,
0000772897,20091208,20090927,1,1
0000772897,20111208,20110925,1,1
0000772897,20101210,20100926,1,1
0000772897,20151211,20150927,1,1
0000772897,20131211,20130929,1,1
0000772897,20121212,20120930,1,1
0000772897,20141210,20140928,1,
0000773840,20160212,20151231,1,0
0000773840,20150213,20141231,1,0
0000773840,20130215,20121231,1,1
0000773840,20140214,20131231,1,1
0000773840,20170210,20161231,1,1
0000773840,20180209,20171231,1,1
0000773840,20190208,20181231,1,1
0000773910,20150220,20141231,1,1
0000773910,20140228,20131231,1,1
0000773910,20180215,20171231,1,1
0000773910,20160217,20151231,1,1
0000773910,20190214,20181231,1,1
0000773910,20170217,20161231,1,1
0000773910,20110223,20101231,1,1
0000773910,20100223,20091231,1,1
0000773910,20090225,20081231,1,1
0000773910,20120221,20111231,1,1
0000773910,20130219,20121231,1,1
0000774517,20090625,20090331,1,0
0000774517,20100618,20100331,1,1
0000774517,20110628,20110331,1,1
0000774517,20120622,20120331,1,1
0000775158,20151113,20150930,1,1
0000775158,20121119,20120930,1,1
0000775158,20161122,20160930,1,1
0000775158,20171121,20170930,1,1
0000775158,20191119,20190930,1,1
0000775158,20111116,20110930,1,1
0000775158,20131113,20130930,1,1
0000775158,20181120,20180930,1,1
0000775158,20141113,20140930,1,1
0000776008,20160322,20151231,1,1
0000776008,20150312,20141231,1,1
0000776008,20090316,20081231,1,1
0000776008,20110316,20101231,1,0
0000776008,20100316,20091231,1,0
0000776008,20120315,20111231,1,0
0000776008,20130318,20121231,1,0
0000776008,20140317,20131231,1,1
0000778164,20110331,20101231,1,1
0000778164,20170315,20161231,1,
0000778164,20120308,20111231,1,1
0000778164,20160315,20151231,1,1
0000778164,20090331,20081231,1,1
0000778164,20100331,20091231,1,1
0000778164,20190318,20181231,1,1
0000778164,20150316,20141231,1,1
0000778164,20130401,20121231,1,
0000778164,20140331,20131231,1,1
0000778164,20180315,20171231,1,1
0000778734,20120606,20120331,1,1
0000778734,20130605,20130331,1,1
0000778734,20140603,20140331,1,1
0000778734,20110607,20110331,1,1
0000778734,20090610,20090331,1,1
0000778734,20100609,20100331,1,1
0000778946,20110331,20101231,1,0
0000778946,20100331,20091231,1,1
0000778946,20090316,20081231,1,0
0000778946,20120328,20111231,1,0
0000778946,20180307,20171231,1,1
0000778946,20190308,20181231,1,1
0000778946,20130401,20121231,1,1
0000779152,20100827,20100630,1,1
0000779152,20110829,20110630,1,1
0000779152,20190826,20190630,1,1
0000779152,20160829,20160630,1,1
0000779152,20150911,20150630,1,1
0000779152,20170825,20170630,1,1
0000779152,20180824,20180630,1,1
0000779152,20130827,20130630,1,1
0000779152,20120827,20120630,1,1
0000779152,20140827,20140630,1,1
0000779152,20090828,20090630,1,1
0000779544,20111230,20111001,1,
0000779544,20110103,20101002,1,
0000779544,20100104,20091003,1,
0000779544,20181220,20180929,1,
0000779544,20161230,20161001,1,
0000779544,20131223,20130928,1,
0000779544,20171229,20170930,1,
0000779544,20151230,20151003,1,
0000779544,20191217,20190928,1,
0000779544,20141224,20140927,1,
0000779544,20121228,20120929,1,
0000780127,20110105,20101031,1,
0000780127,20090107,20081031,1,
0000780127,20100105,20091031,1,
0000780127,20120106,20111031,1,
0000780571,20170301,20161231,1,
0000780571,20180301,20171231,1,
0000780571,20160630,20151231,1,
0000780571,20190228,20181231,1,
0000780571,20110225,20101231,1,
0000780571,20090226,20081231,1,
0000780571,20100225,20091231,1,
0000780571,20140226,20131231,1,
0000780571,20120217,20111231,1,
